"","mean_PM25","RR","Lower_CI","Upper_CI"
"1",49,1.00457467240399,1.00265412288007,1.00649890067454
"2",63,1.02615769043424,1.01510836146376,1.03732728998403
"3",47,1.00152866633935,1.0008874633439,1.00217028011153
"4",49,1.00457467240399,1.00265412288007,1.00649890067454
"5",57,1.01685161875623,1.00975199929978,1.02400115601077
"6",46,1.00000912852245,1.00000530122788,1.00001295583167
"7",74,1.04344058354642,1.02500226372337,1.06221058228367
"8",66,1.03084261563285,1.01779718821684,1.04405525040455
"9",48,1.00305051313035,1.0017704036658,1.00433225837914
"10",56,1.01530883267251,1.00886202415973,1.02179683744305
"11",52,1.00916106028618,1.00530996075121,1.01302691245289
"12",50,1.00610114767414,1.00353862167382,1.0086702170594
"13",48,1.00305051313035,1.0017704036658,1.00433225837914
"14",61,1.02304624174436,1.01331975777073,1.03286608666331
"15",56,1.01530883267251,1.00886202415973,1.02179683744305
"16",50,1.00610114767414,1.00353862167382,1.0086702170594
"17",48,1.00305051313035,1.0017704036658,1.00433225837914
"18",56,1.01530883267251,1.00886202415973,1.02179683744305
"19",47,1.00152866633935,1.0008874633439,1.00217028011153
"20",49,1.00457467240399,1.00265412288007,1.00649890067454
"21",51,1.00762994246002,1.00442390073476,1.01084621761714
"22",64,1.02771696161712,1.01600384685673,1.03956511234003
"23",55,1.01376838733237,1.00797283342591,1.01959726400704
"24",94,1.07561320164119,1.04323889148644,1.1089921675527
"25",123,1.12403362620021,1.07025986224278,1.18050918043508
"26",122,1.12232822159235,1.06931655668712,1.17796795448965
"27",70,1.03712247126386,1.02139337276758,1.05309379234166
"28",61,1.02304624174436,1.01331975777073,1.03286608666331
"29",54,1.01223027918439,1.00708442640694,1.0174024254881
"30",54,1.01223027918439,1.00708442640694,1.0174024254881
"31",47,1.00152866633935,1.0008874633439,1.00217028011153
"32",56,1.01530883267251,1.00886202415973,1.02179683744305
"33",49,1.00457467240399,1.00265412288007,1.00649890067454
"34",50,1.00610114767414,1.00353862167382,1.0086702170594
"35",68,1.03397777587782,1.01959369499137,1.04856478248258
"36",69,1.03554892986778,1.02049313715468,1.05082684743991
"37",65,1.02927860214989,1.0169001222088,1.04180776234198
"38",86,1.06262679799219,1.03590562477032,1.09003724355827
"39",59,1.01994422738708,1.01153430556702,1.02842406951002
"40",56,1.01530883267251,1.00886202415973,1.02179683744305
"41",59,1.01994422738708,1.01153430556702,1.02842406951002
"42",56,1.01530883267251,1.00886202415973,1.02179683744305
"43",67,1.03240900567175,1.01869504557833,1.04630758696487
"44",46,1.00000912852245,1.00000530122788,1.00001295583167
"45",54,1.01223027918439,1.00708442640694,1.0174024254881
"46",47,1.00152866633935,1.0008874633439,1.00217028011153
"47",65,1.02927860214989,1.0169001222088,1.04180776234198
"48",84,1.0594047700434,1.03408037665254,1.08534935207249
"49",55,1.01376838733237,1.00797283342591,1.01959726400704
"50",59,1.01994422738708,1.01153430556702,1.02842406951002
"51",58,1.01839674914035,1.01064275953801,1.02621022994685
"52",46,1.00000912852245,1.00000530122788,1.00001295583167
"53",56,1.01530883267251,1.00886202415973,1.02179683744305
"54",54,1.01223027918439,1.00708442640694,1.0174024254881
"55",72,1.04027673079074,1.02319622714259,1.05764236411112
"56",55,1.01376838733237,1.00797283342591,1.01959726400704
"57",48,1.00305051313035,1.0017704036658,1.00433225837914
"58",46,1.00000912852245,1.00000530122788,1.00001295583167
"59",58,1.01839674914035,1.01064275953801,1.02621022994685
"60",46,1.00000912852245,1.00000530122788,1.00001295583167
"61",52,1.00916106028618,1.00530996075121,1.01302691245289
"62",53,1.01069450468255,1.00619680241209,1.01521231169362
"63",56,1.01530883267251,1.00886202415973,1.02179683744305
"64",48,1.00305051313035,1.0017704036658,1.00433225837914
"65",50,1.00610114767414,1.00353862167382,1.0086702170594
"66",53,1.01069450468255,1.00619680241209,1.01521231169362
"67",53,1.01069450468255,1.00619680241209,1.01521231169362
"68",56,1.01530883267251,1.00886202415973,1.02179683744305
"69",60,1.02149405706407,1.01242663807999,1.03064268498116
"70",68,1.03397777587782,1.01959369499137,1.04856478248258
"71",57,1.01685161875623,1.00975199929978,1.02400115601077
"72",50,1.00610114767414,1.00353862167382,1.0086702170594
"73",51,1.00762994246002,1.00442390073476,1.01084621761714
"74",63,1.02615769043424,1.01510836146376,1.03732728998403
"75",47,1.00152866633935,1.0008874633439,1.00217028011153
"76",48,1.00305051313035,1.0017704036658,1.00433225837914
"77",56,1.01530883267251,1.00886202415973,1.02179683744305
"78",53,1.01069450468255,1.00619680241209,1.01521231169362
"79",53,1.01069450468255,1.00619680241209,1.01521231169362
"80",47,1.00152866633935,1.0008874633439,1.00217028011153
"81",47,1.00152866633935,1.0008874633439,1.00217028011153
"82",70,1.03712247126386,1.02139337276758,1.05309379234166
"83",50,1.00610114767414,1.00353862167382,1.0086702170594
"84",51,1.00762994246002,1.00442390073476,1.01084621761714
"85",51,1.00762994246002,1.00442390073476,1.01084621761714
"86",51,1.00762994246002,1.00442390073476,1.01084621761714
"87",52,1.00916106028618,1.00530996075121,1.01302691245289
"88",46,1.00000912852245,1.00000530122788,1.00001295583167
"89",55,1.01376838733237,1.00797283342591,1.01959726400704
"90",48,1.00305051313035,1.0017704036658,1.00433225837914
"91",53,1.01069450468255,1.00619680241209,1.01521231169362
"92",62,1.02460078500645,1.01421366533364,1.03509428488175
"93",47,1.00152866633935,1.0008874633439,1.00217028011153
"94",47,1.00152866633935,1.0008874633439,1.00217028011153
"95",56,1.01530883267251,1.00886202415973,1.02179683744305
"96",82,1.05619251171846,1.03225834459095,1.08068162166536
"97",62,1.02460078500645,1.01421366533364,1.03509428488175
"98",52,1.00916106028618,1.00530996075121,1.01302691245289
"99",62,1.02460078500645,1.01421366533364,1.03509428488175
"100",62,1.02460078500645,1.01421366533364,1.03509428488175
"101",68,1.03397777587782,1.01959369499137,1.04856478248258
"102",61,1.02304624174436,1.01331975777073,1.03286608666331
"103",66,1.03084261563285,1.01779718821684,1.04405525040455
"104",72,1.04027673079074,1.02319622714259,1.05764236411112
"105",48,1.00305051313035,1.0017704036658,1.00433225837914
"106",50,1.00610114767414,1.00353862167382,1.0086702170594
"107",50,1.00610114767414,1.00353862167382,1.0086702170594
"108",54,1.01223027918439,1.00708442640694,1.0174024254881
"109",69,1.03554892986778,1.02049313715468,1.05082684743991
"110",69,1.03554892986778,1.02049313715468,1.05082684743991
"111",78,1.04979718553865,1.02862390597976,1.07140629763523
"112",59,1.01994422738708,1.01153430556702,1.02842406951002
"113",56,1.01530883267251,1.00886202415973,1.02179683744305
"114",74,1.04344058354642,1.02500226372337,1.06221058228367
"115",78,1.04979718553865,1.02862390597976,1.07140629763523
"116",85,1.06101456095988,1.03499259834985,1.0876907722468
"117",137,1.14818318788768,1.08355385003653,1.21666738843063
"118",73,1.04185745619353,1.02409884730643,1.05992401210198
"119",51,1.00762994246002,1.00442390073476,1.01084621761714
"120",73,1.04185745619353,1.02409884730643,1.05992401210198
"121",97,1.08052391608528,1.04600223060152,1.11618493639431
"122",99,1.08381017489344,1.04784852190121,1.12100601437246
"123",72,1.04027673079074,1.02319622714259,1.05764236411112
"124",82,1.05619251171846,1.03225834459095,1.08068162166536
"125",71,1.03869840369377,1.02229440253003,1.05536562771533
"126",74,1.04344058354642,1.02500226372337,1.06221058228367
"127",81,1.05459003690429,1.03134853281001,1.07835528975602
"128",64,1.02771696161712,1.01600384685673,1.03956511234003
"129",67,1.03240900567175,1.01869504557833,1.04630758696487
"130",64,1.02771696161712,1.01600384685673,1.03956511234003
"131",71,1.03869840369377,1.02229440253003,1.05536562771533
"132",66,1.03084261563285,1.01779718821684,1.04405525040455
"133",64,1.02771696161712,1.01600384685673,1.03956511234003
"134",65,1.02927860214989,1.0169001222088,1.04180776234198
"135",67,1.03240900567175,1.01869504557833,1.04630758696487
"136",72,1.04027673079074,1.02319622714259,1.05764236411112
"137",71,1.03869840369377,1.02229440253003,1.05536562771533
"138",59,1.01994422738708,1.01153430556702,1.02842406951002
"139",55,1.01376838733237,1.00797283342591,1.01959726400704
"140",61,1.02304624174436,1.01331975777073,1.03286608666331
"141",70,1.03712247126386,1.02139337276758,1.05309379234166
"142",58,1.01839674914035,1.01064275953801,1.02621022994685
"143",51,1.00762994246002,1.00442390073476,1.01084621761714
"144",58,1.01839674914035,1.01064275953801,1.02621022994685
"145",57,1.01685161875623,1.00975199929978,1.02400115601077
"146",51,1.00762994246002,1.00442390073476,1.01084621761714
"147",62,1.02460078500645,1.01421366533364,1.03509428488175
"148",64,1.02771696161712,1.01600384685673,1.03956511234003
"149",67,1.03240900567175,1.01869504557833,1.04630758696487
"150",61,1.02304624174436,1.01331975777073,1.03286608666331
"151",65,1.02927860214989,1.0169001222088,1.04180776234198
"152",55,1.01376838733237,1.00797283342591,1.01959726400704
"153",58,1.01839674914035,1.01064275953801,1.02621022994685
"154",47,1.00152866633935,1.0008874633439,1.00217028011153
"155",52,1.00916106028618,1.00530996075121,1.01302691245289
"156",47,1.00152866633935,1.0008874633439,1.00217028011153
"157",46,1.00000912852245,1.00000530122788,1.00001295583167
"158",55,1.01376838733237,1.00797283342591,1.01959726400704
"159",52,1.00916106028618,1.00530996075121,1.01302691245289
"160",52,1.00916106028618,1.00530996075121,1.01302691245289
"161",60,1.02149405706407,1.01242663807999,1.03064268498116
"162",52,1.00916106028618,1.00530996075121,1.01302691245289
"163",50,1.00610114767414,1.00353862167382,1.0086702170594
"164",46,1.00000912852245,1.00000530122788,1.00001295583167
"165",46,1.00000912852245,1.00000530122788,1.00001295583167
"166",52,1.00916106028618,1.00530996075121,1.01302691245289
"167",46,1.00000912852245,1.00000530122788,1.00001295583167
"168",52,1.00916106028618,1.00530996075121,1.01302691245289
"169",50,1.00610114767414,1.00353862167382,1.0086702170594
"170",53,1.01069450468255,1.00619680241209,1.01521231169362
"171",93,1.07398126139706,1.04231940167192,1.10660489287821
"172",82,1.05619251171846,1.03225834459095,1.08068162166536
"173",47,1.00152866633935,1.0008874633439,1.00217028011153
"174",108,1.09872246346346,1.05619724447963,1.14295985719407
"175",49,1.00457467240399,1.00265412288007,1.00649890067454
"176",46,1.00000912852245,1.00000530122788,1.00001295583167
"177",53,1.01069450468255,1.00619680241209,1.01521231169362
"178",54,1.01223027918439,1.00708442640694,1.0174024254881
"179",64,1.02771696161712,1.01600384685673,1.03956511234003
"180",53,1.01069450468255,1.00619680241209,1.01521231169362
"181",56,1.01530883267251,1.00886202415973,1.02179683744305
"182",69,1.03554892986778,1.02049313715468,1.05082684743991
"183",80,1.05298999339454,1.03043952291891,1.07603396563069
"184",46,1.00000912852245,1.00000530122788,1.00001295583167
"185",58,1.01839674914035,1.01064275953801,1.02621022994685
"186",59,1.01994422738708,1.01153430556702,1.02842406951002
"187",46,1.00000912852245,1.00000530122788,1.00001295583167
"188",49,1.00457467240399,1.00265412288007,1.00649890067454
"189",49,1.00457467240399,1.00265412288007,1.00649890067454
"190",76,1.04661405870733,1.02681148812683,1.06679853171698
"191",64,1.02771696161712,1.01600384685673,1.03956511234003
"192",62,1.02460078500645,1.01421366533364,1.03509428488175
"193",50,1.00610114767414,1.00353862167382,1.0086702170594
"194",59,1.01994422738708,1.01153430556702,1.02842406951002
"195",55,1.01376838733237,1.00797283342591,1.01959726400704
"196",50,1.00610114767414,1.00353862167382,1.0086702170594
"197",60,1.02149405706407,1.01242663807999,1.03064268498116
"198",66,1.03084261563285,1.01779718821684,1.04405525040455
"199",46,1.00000912852245,1.00000530122788,1.00001295583167
"200",53,1.01069450468255,1.00619680241209,1.01521231169362
"201",60,1.02149405706407,1.01242663807999,1.03064268498116
"202",63,1.02615769043424,1.01510836146376,1.03732728998403
"203",53,1.01069450468255,1.00619680241209,1.01521231169362
"204",52,1.00916106028618,1.00530996075121,1.01302691245289
"205",66,1.03084261563285,1.01779718821684,1.04405525040455
"206",69,1.03554892986778,1.02049313715468,1.05082684743991
"207",60,1.02149405706407,1.01242663807999,1.03064268498116
"208",54,1.01223027918439,1.00708442640694,1.0174024254881
"209",60,1.02149405706407,1.01242663807999,1.03064268498116
"210",64,1.02771696161712,1.01600384685673,1.03956511234003
"211",64,1.02771696161712,1.01600384685673,1.03956511234003
"212",64,1.02771696161712,1.01600384685673,1.03956511234003
"213",51,1.00762994246002,1.00442390073476,1.01084621761714
"214",63,1.02615769043424,1.01510836146376,1.03732728998403
"215",46,1.00000912852245,1.00000530122788,1.00001295583167
"216",50,1.00610114767414,1.00353862167382,1.0086702170594
"217",58,1.01839674914035,1.01064275953801,1.02621022994685
"218",55,1.01376838733237,1.00797283342591,1.01959726400704
"219",50,1.00610114767414,1.00353862167382,1.0086702170594
"220",49,1.00457467240399,1.00265412288007,1.00649890067454
"221",54,1.01223027918439,1.00708442640694,1.0174024254881
"222",48,1.00305051313035,1.0017704036658,1.00433225837914
"223",48,1.00305051313035,1.0017704036658,1.00433225837914
"224",47,1.00152866633935,1.0008874633439,1.00217028011153
"225",58,1.01839674914035,1.01064275953801,1.02621022994685
"226",63,1.02615769043424,1.01510836146376,1.03732728998403
"227",54,1.01223027918439,1.00708442640694,1.0174024254881
"228",52,1.00916106028618,1.00530996075121,1.01302691245289
"229",57,1.01685161875623,1.00975199929978,1.02400115601077
"230",58,1.01839674914035,1.01064275953801,1.02621022994685
"231",59,1.01994422738708,1.01153430556702,1.02842406951002
"232",69,1.03554892986778,1.02049313715468,1.05082684743991
"233",84,1.0594047700434,1.03408037665254,1.08534935207249
"234",59,1.01994422738708,1.01153430556702,1.02842406951002
"235",48,1.00305051313035,1.0017704036658,1.00433225837914
"236",53,1.01069450468255,1.00619680241209,1.01521231169362
"237",59,1.01994422738708,1.01153430556702,1.02842406951002
"238",84,1.0594047700434,1.03408037665254,1.08534935207249
"239",62,1.02460078500645,1.01421366533364,1.03509428488175
"240",46,1.00000912852245,1.00000530122788,1.00001295583167
"241",49,1.00457467240399,1.00265412288007,1.00649890067454
"242",62,1.02460078500645,1.01421366533364,1.03509428488175
"243",64,1.02771696161712,1.01600384685673,1.03956511234003
"244",66,1.03084261563285,1.01779718821684,1.04405525040455
"245",58,1.01839674914035,1.01064275953801,1.02621022994685
